"","log2FoldChange"
"102592057",-1.540556886
"102595048",1.317080913
"102598554",1.539541022
"102585991",-1.295872732
"102577574",2.643771287
"102602986",2.795361789
"102604206",2.306088693
"102591923",1.969726281
"102591248",1.082760287
"102603300",-2.917246509
"102592818",-1.179451197
"102605636",1.39175641
"102579316",-1.304614315
"102589340",2.0292333
"102584442",1.335211903
"102604178",1.735681195
"102590869",1.633981213
"102590513",1.353034307
"102589520",-1.317979759
"102600778",6.221488066
"102601120",-1.03648958
"102603430",-2.281126501
"102592890",1.149933181
"102593947",5.779131673
"102606273",1.473844574
"102583036",2.062445038
"102579180",-1.069890055
"102603918",1.041260636
"102584696",1.269821672
"102592022",-1.544966104
"102603839",-1.906212264
"102601122",1.566778859
"102601192",-1.24247727
"102590807",1.726393829
"102606345",-1.090469945
"102605674",1.526780877
"102603101",1.156739244
"102600189",1.199939326
"102605122",1.620321731
"102580995",3.657747809
"102595037",-1.956353456
"102588301",2.226283198
"102582131",-1.807521541
"102588952",1.665895467
"102593919",1.844100998
"102598642",-1.007923449
"102605008",-1.218067505
"102577780",6.707626488
"102599140",6.707626488
"102599796",6.707626488
"102581589",3.46021489
"102586215",3.46021489
"102604273",-2.14409229
"102599519",1.26996543
"102605706",1.112050157
"102578500",1.244809856
"102580149",1.458704496
"102590963",-1.721675465
"102582579",1.505554655
"102599544",3.414134018
"102601909",-1.054717429
"102579405",4.2600902
"102580049",3.80875515
"102588876",2.423347793
"102581806",1.809822334
"102580123",1.753281154
"102605132",1.538911646
"102586424",2.386623042
"102584428",-1.427013702
"102593760",3.181153269
"102587306",1.241591518
"102594160",-1.477185973
"102580069",2.975782497
"107058400",-1.232714654
"102604557",-2.342650004
"102579917",-1.000489383
"102577899",1.594783986
"102580357",-2.509064137
"102588957",1.177574291
"107059094",1.158062458
"107057685",-3.969871544
"102606020",-4.272179273
"102600090",-3.506736934
"102580341",-3.402921625
"102582815",-1.060775255
"102592408",-1.14671947
"102590158",1.30320219
"102602980",8.914544826
"102592932",1.863871648
"102596853",5.216643649
"102589598",1.324110786
"102590248",2.634160775
"102579254",-1.504779701
"107061959",-1.467806875
"102594822",-1.820363595
"102594417",-1.05418024
"107059659",3.670052605
"102600872",-3.166019734
"102594304",2.569991869
"102580089",-4.531349536
"102606321",-5.791415031
"102593189",-1.646262828
"102603614",-5.208689216
"102592574",-2.120283508
"102593894",7.130965983
"102577814",3.301049057
"102595227",-7.807434803
"102602387",-1.419128888
"102592345",-1.19511086
"107061032",1.037160226
"102605998",-1.182531588
"102598199",-1.628485405
"102595032",1.168896474
"107062445",5.009561287
"102603764",2.502096102
"102600845",1.039393913
"102603093",4.877471825
"102590261",-2.28418719
"102583921",2.10411712
"102585595",3.861002828
"102588789",1.289871045
"102595692",1.070263269
"102590030",-1.810711462
"102587812",-3.560079517
"102606145",2.239986222
"102601210",-2.314710041
"102604313",1.109090738
"102601795",2.581246443
"102583487",1.786843906
"102605661",3.416458243
"102582168",1.160908219
"102586587",-1.263701421
"102589612",1.707271157
"102585109",1.871648928
"102591506",-1.373189736
"102597915",-1.689102237
"102597104",3.32125587
"102593589",-1.053025656
"102603293",-2.689581178
"102602614",1.683032595
"102586959",1.854177566
"102605581",1.187967429
"102606257",1.603327778
"102581483",-1.189380757
"102583797",3.458931471
"102587007",-1.344958636
"102599323",1.254378329
"102600928",-1.232376784
"102600048",-2.188396117
"102599929",-1.415543448
"107057828",-1.031051566
"102593208",-1.531481933
"102584351",4.788965198
"102601319",-1.350875487
"102600392",-1.372932975
"102594911",-1.700652674
"102585456",1.090020394
"102600900",-1.722646352
"102596191",1.372883107
"102584051",2.116911099
"102578511",-1.333448682
"102591434",-4.744435118
"102594533",2.351930164
"102604377",1.583549846
"107062542",2.757039132
"102584658",1.018031437
"102585975",1.223539716
"102593878",1.04130151
"102600669",1.426244358
"102585599",1.41202841
"102604176",2.98240375
"102599370",1.216727123
"102594657",1.099327351
"102598153",1.305973521
"102603823",-1.558816106
"102598868",6.815938786
"102597241",1.610913574
"102594075",2.325392153
"102590620",3.532199815
"102597918",1.81019518
"102599114",4.305863403
"102602061",-1.579868632
"102587263",1.965971423
"102602814",1.662623848
"102603828",1.535678446
"102581428",-1.407183741
"102583163",-1.06714733
"102603547",1.697167904
"102598944",1.35241849
"102590426",1.653524605
"102594670",-2.401912255
"102592363",-1.312526111
"102593499",1.291199954
"102582097",1.624335237
"102581683",4.028343321
"102595230",1.569547102
